服务,级别,错误,消息,组件,原因
Alpha15,ERROR,WEBHOOK_TLS_FAIL,TLS 握手失败,WebhookClient,证书链不完整
Alpha16,WARN,INODE_3P,inode 剩余 3%,InodeWatcher,小文件过多
Alpha17,ERROR,SMS_TMPL_MISS,模板 sms_999 不存在,TmplStore,被误删
Alpha18,FATAL,GC_OVERHEAD_98,GC 占用 98%,GcMonitor,堆 2G 不足
Alpha19,WARN,BURST_BW_1P3G,突发 1.3 Gbps>1 G 购买值,BurstCtl,需补费用
Alpha20,ERROR,API_V0_DEPRECATE,v0 已下线,ApiLifecycle,调用方未升级
Alpha21,FATAL,RAID0_DISK_OFF,RAID0 磁盘离线,RaidHealth,无冗余，只读
Alpha22,WARN,SESSION_FIX,登录未换 JSESSIONID,SecFilter,固定攻击风险
Alpha23,ERROR,UPLOAD_120M_LIMIT,文件 120 MB>100 MB 限制,UploadGate,未分片
Alpha24,FATAL,KAFKA_DISK_FULL,Kafka 磁盘 100%,KafkaDisk,消息写入失败
Alpha25,WARN,MERGE_FAIL,索引段合并失败,MergeEng,磁盘<10%
Alpha26,ERROR,PWD_WEAK,密码缺特殊字符,PwdPolicy,策略不符
Alpha27,FATAL,CONTAINER_CORE_139,容器 core dump,Runtime,segfault
Alpha28,WARN,TS_DRIFT_5S,时间戳漂移 5 s,NtpChecker,未同步
Alpha29,ERROR,CHAIN_INCOMPLETE,证书链缺少中间证,ChainVal,TLS 失败
Alpha30,FATAL,INT_PK_OVERFLOW,INT 主键溢出,KeyOverflow,已达最大值
Alpha31,WARN,HIT_DROP_25P,缓存命中率降 25%,HitDrop,规则误改
Alpha32,ERROR,HARD_BOUNCE,邮箱 notexist.com 硬退,BounceMgr,域名无效
Alpha33,FATAL,DEP_SVC_503,依赖 Inventory 503,DepHealth,订单无法创建
Alpha34,WARN,MSG_18M_LIMIT,消息 18 MB>10 MB 限制,MsgSize,队列拒绝
Alpha35,ERROR,ENUM_INVALID,值 xyz 不在枚举范围,EnumCheck,仅 abc/def
Alpha36,FATAL,STACK_OVF,栈溢出>10k 帧,StackOvf,递归无出口
Alpha37,WARN,LOSS_5P,丢包率 5%,PacketLoss,链路劣化
Alpha38,ERROR,WEBHOOK_RSP_TMO,响应超时 30 s,WHookTmo,接收方慢
Alpha39,FATAL,DATA_DIR_LOST,/data 目录丢失,DirMon,磁盘损坏
Alpha40,WARN,REFRESH_LAG_10S,索引刷新延迟 10 s,RefreshLag,副本慢
Alpha41,ERROR,SIGN_NOT_FOUND,短信签名未备案,SmsSign,运营商无记录
Alpha42,FATAL,LOCK_WAIT_50S,行锁等待超 50 s,LockWait,长事务阻塞
Alpha43,WARN,WARM_FAIL,缓存预热失败,WarmFail,源站 404
Alpha44,ERROR,QUOTA_EXCEED,日配额 1 万已用完,QuotaMgr,需明日重置
Alpha45,FATAL,FRAG_92P,内存碎片率 92%,FragMgr,长期未重启
Alpha46,WARN,DISK_TEMP_65,磁盘温度 65 ℃,DiskTemp,散热故障
Alpha47,ERROR,CERT_REVOKED,证书被 CA 吊销,CertRev,立即更换
Alpha48,FATAL,BROKER_CLUSTER_DOWN,Kafka 3 节点全宕,BrokerDown,网络+磁盘双故障
Alpha49,WARN,OUT_OF_ORDER_8S,指标乱序 8 s,OrderMon,采集器时钟差
Alpha50,ERROR,PWD_REUSE,密码与上次相同,ReuseDet,策略禁止
Alpha51,FATAL,SSTABLE_CORRUPT,SSTable 校验失败,SstCorrupt,磁盘坏块
Alpha52,WARN,UTIL_SPIKE_98P,带宽利用率突增 98%,UtilSpike,突发流量
Alpha53,ERROR,PAYLOAD_2M_LIMIT,Payload 2 MB>256 KB,PayloadLim,超限拒绝
Alpha54,FATAL,OFF_HEAP_OOM,堆外内存 OOM,OffHeapOom,DirectBuffer 不足
Alpha55,WARN,EVICT_POLICY_NO_IMPL,自定义淘汰策略未实现,PolicyNoImpl,接口空壳
Alpha56,ERROR,SESSION_CONCURRENT,并发会话 5>3 限制,SessConc,超限踢出
Alpha57,FATAL,RAFT_ELECTION_FAIL,选主失败,RaftElect,网络分区
Alpha58,WARN,SEGMENT_HIGH_300,索引段 300+ 未合并,SegHigh,影响写入
Alpha59,ERROR,PINNING_FAIL,证书固定失败,PinFail,公钥不符
Alpha60,FATAL,TX_LOG_TRUNC_FAIL,事务日志截断失败,TxTrunc,文件被锁
Alpha61,WARN,SAMPLE_LOST_10P,采样丢失 10%,SampleLoss,采集器失联
Alpha62,ERROR,API_CODE_NO_DOC,状态码 599 无文档,CodeDoc,文档缺失
Alpha63,FATAL,SWAP_HIGH_85P,交换分区 85%,SwapHigh,内存耗尽
Alpha64,WARN,DESERIALIZE_FAIL,反序列化类不存在,DeserFail,类被卸载
Alpha65,ERROR,ENUM_XYZ_INVALID,枚举 xyz 无效,EnumFail,值不在范围
Alpha66,FATAL,HEAP_ALLOC_2G_FAIL,堆分配 2 G 失败,HeapFail,内存不足
Alpha67,WARN,IN_FLIGHT_12K,在途消息 1.2 万,InFlight,消费者卡死
Alpha68,ERROR,KEY_ENCRYPT_DES_FAIL,DES 加密被禁,KeyEncFail,强度不足
Alpha69,FATAL,DISK_TEMP_65C,磁盘 65 ℃,DiskTemp,散热故障
Alpha70,WARN,JSON_PTR_NEG_IDX,JSONPointer 负索引,JsonPtr,不支持
Alpha71,ERROR,MEMBERSHIP_CHANGE_FAIL,成员变更失败,MemberFail,无共识
Alpha72,FATAL,LOG_ROOT_PERM_DENY,/var/log 权限不足,LogPerm,目录 755 需 775
Alpha73,WARN,CACHE_ACCESS_SLOW,缓存访问 500 ms,CacheSlow,节点负载高
Alpha74,ERROR,STOCK_NEGATIVE,库存为负 SKU777,StockNeg,并发未加锁
Alpha75,FATAL,JVM_METASPACE_OOM,Metaspace OOM,MetaOom,类加载过多
Alpha76,WARN,BANDWIDTH_THROTTLE,带宽被限至 10 Mbps,Throttle,流量包用尽
Alpha77,ERROR,API_KEY_NOT_FOUND,API 密钥 ak_unknown 不存在,KeyFind,未注册
UserService,ERROR,IDENTITY_EXPIRE,实名认证过期，用户ID: 10144,IdentityExpireChecker,需重新上传
CartService,WARN,CART_STOCK_WARN,购物车库存警告，商品ID: 30032,StockWarner,仅剩1件
EmailService,INFO,TEMPLATE_VERSION,模板版本更新，ID: 60009,VersionManager,旧版废弃
GatewayService,ERROR,BACKEND_HEALTH_TIMEOUT,健康检查超时，服务: StockService,HealthTimeoutManager,超过5秒
LogService,WARN,LOG_sample,日志采样率调整，原: 10%→新: 5%,SampleRateManager,节省存储
SearchService,INFO,QUERY_CACHE_WARM,"查询缓存预热，关键词: ""口罩""",CacheWarmer,加载完成
AuthService,ERROR,BRUTE_FORCE,暴力破解检测，IP: 192.168.1.109,BruteForceDetector,锁定IP
PayService,INFO,PAY_SPLIT_SETTLE,分账结算完成，子商户数: 4,SplitSettler,成功
StockService,WARN,STOCK_EXPIRE_BATCH,批量商品临期，数量: 50,BatchExpireWatcher,7天内到期
OrderService,ERROR,ORDER_ADDRESS_CHANGE,地址变更失败，订单ID: 20045,AddressChanger,已发货
NotiService,INFO,DIGEST_SEND,通知摘要发送，用户ID: 10145,DigestSender,每日汇总
UserService,WARN,LOGIN_DEVICE_LIMIT,设备数超限，用户ID: 10146,DeviceLimiter,限制5台
CartService,ERROR,CART_DISCOUNT_REMOVE,优惠被移除，用户ID: 10147,DiscountRemover,商品不参与
EmailService,WARN,SUBJECT_EMOJI,邮件主题含表情，可能进垃圾箱,EmojiChecker,提示修改
GatewayService,INFO,CACHE_HIT_RATIO,缓存命中率: 85%,CacheStats,提升性能
LogService,ERROR,LOG_STORM,日志风暴检测，突增: 10倍,StormDetector,触发限流
SearchService,WARN,FIELD_BOOST_MISS,字段boost缺失，字段: review,BoostConfigManager,使用默认1.0
AarService,INFO,PASSWORD_EXPIRE_REMIND,密码过期提醒，用户ID: 10148,ExpireRemindManager,剩余3天
AbaService,ERROR,COUPON_RETURN_FAIL,优惠券退回失败，用户ID: 10149,CouponReturner,已过期
PayService,WARN,PAY_RISK_REVIEW,支付进入人工审核，订单ID: 20046,RiskReviewManager,大额异常
StockService,INFO,STOCK_MOVE_BATCH,批量移库完成，数量: 500,BatchMoveManager,A仓→B仓
OrderService,WARN,ORDER_WEIGHT_DIFF,称重差异，订单ID: 20047,WeightDiffChecker,差异: ±200g
NotiService,ERROR,SMS_SIGNATURE_ERR,短信签名错位，期望:【商城】实际:【测试】,SignaturePositioner,运营商驳回
UserService,INFO,POINTS_ADD,积分增加，用户ID: 10150,PointsAdder,数量: 50
CartService,WARN,CART_ABANDON,购物车放弃，用户ID: 10151,AbandonTracker,超过72小时
EmailService,ERROR,TEMPLATE_LOOP_DETECT,模板递归调用，深度: 10,LoopDetector,强制终止
GatewayService,WARN,BACKEND_CONN_DROP,后端连接被丢弃，服务: NotiService,ConnDropMonitor,空闲超时
LogService,INFO,LOG_AGGREGATE,"日志聚合完成，关键字: ""ERROR""",Aggregator,统计: 120条
SearchService,ERROR,SHARD_FAIL,分片失败，索引: product,ShardManager,磁盘满
AuthService,WARN,SESSION_TIMEOUT_SHORT,会话超时过短，设置: 5分钟,SessionTimeoutManager,建议30分钟
PayService,INFO,PAY_CHANNEL_SWITCH_BACK,支付渠道切回，渠道: wxpay,SwitchBackManager,故障恢复
StockService,ERROR,STOCK_BARCODE_ERR,条码扫描错误，商品ID: 30033,BarcodeScanner,无法识别
OrderService,INFO,ORDER_RECEIPT_PRINT,发票打印完成，订单ID: 20048,ReceiptPrinter,电子档已发送
NotiService,WARN,NOTI_CLICK_RATE_LOW,通知点击率低于5%，用户ID: 10152,ClickRateMonitor,内容优化
UserService,ERROR,THIRD_LOGIN_FAIL,第三方登录失败，平台: qq，用户ID: 10153,ThirdLoginManager,openid失效
CartService,INFO,CART_TOTAL_DISCOUNT,优惠计算完成，节省: ￥35,DiscountCalculator,用户满意
EmailService,WARN,LIST_UNSUB_FAIL,退订链接失效，邮箱: user5@example.com,UnsubLinkManager,链接过期
GatewayService,ERROR,BACKEND_RESPONSE_500,后端返回500，服务: OrderService,Error500Tracker,数据库死锁
Alpha78,FATAL,NATIVE_LIB_LOAD_FAIL,原生库缺失,NativeLoad,so 文件不存在
Alpha79,WARN,CACHE_COMPRESS_FAIL,brotli 压缩失败,CompressFail,内存不足
Alpha80,ERROR,PWD_COMPLEX_FAIL,密码 pass 复杂度不足,PwdComplex,缺数字符号
Alpha81,FATAL,REDIRECT_LOOP,重定向循环 /akv,RedirectLoop,配置错误
Alpha82,WARN,XML_ENCODING_UTF32,XML 声明 utf-32 不支持,XmlEnc,仅 utf-8
Alpha83,ERROR,TX_LOG_TRUNC_FAIL,日志截断失败,TxTruncFail,文件锁
Alpha84,FATAL,BANDWIDTH_SAMPLE_LOST,采样丢 10%,BandSampleLoss,采集器故障
Alpha85,WARN,API_599_NO_DOC,599 无文档,ApiDocMiss,需补文档
Alpha86,ERROR,SWAP_85P,交换 85%,SwapErr,内存耗尽
Alpha87,FATAL,DESERIALIZE_CLASS_MISS,反序列化类不存在,DeserClassMiss,类卸载
Alpha88,WARN,ENUM_NOT_IN_LIST,xyz 不在枚举,EnumList,值非法
Alpha89,ERROR,HEAP_2G_ALLOC_FAIL,堆 2 G 分配失败,Heap2GFail,内存不足
Alpha90,FATAL,IN_FLIGHT_HIGH,在途 1.2 万条,InFlightHigh,消费者慢
Alpha91,WARN,KEY_DES_ENCRYPT_BAN,DES 被禁,DesBan,强度不足
Alpha92,ERROR,DISK_65C_TEMP,磁盘温度 65 ℃,Disk65C,散热差
Alpha93,FATAL,JSON_PTR_NEG_FAIL,JSONPointer 负索引非法,JsonPtrNeg,不支持
Alpha94,WARN,MEMBER_CHANGE_FAIL,成员变更无共识,MemberChange,网络分区
Alpha95,ERROR,LOG_PERM_DENIED,/var/log 权限拒,LogDeny,需 775
Alpha96,FATAL,CACHE_ACCESS_500MS,缓存访问 500 ms,Cache500,节点高载
Alpha97,WARN,STOCK_NEG_SKU777,库存负值,StockNeg777,无锁扣减
Alpha98,FATAL,METASPACE_OOM,Metaspace OOM,MetaOOM,类过多
Alpha99,WARN,THROTTLE_10M,带宽限 10 Mbps,Throttle10M,流量包尽
Alpha100,ERROR,API_KEY_AK_UNKNOWN,ak_unknown 未找到,KeyUnknown,未注册
LogService,WARN,LOG_RETENTION,日志保留期调整，原: 7天→新: 30天,RetentionManager,合规要求
SearchService,INFO,QUERY_SPELL_CHECK,"拼写检查触发，原词: ""手鸡""",SpellChecker,"纠正为""手机"""
AarService,ERROR,ACCOUNT_RECOVER_FAIL,账号恢复失败，用户ID: 10154,RecoverManager,验证信息不足
AbaService,WARN,BALANCE_NOTIFY_OFF,余额提醒关闭，用户ID: 10155,NotifyToggler,用户设置
PayService,INFO,PAY_CHANNEL_RANK,渠道评分更新，wxpay: 98分,RankManager,最高
StockService,WARN,STOCK_BATCH_DATE,批次日期错误，商品ID: 30034,BatchDateValidator,未来日期
OrderService,ERROR,ORDER_PACKAGE_LOST,包裹丢失，订单ID: 20049,LostPackageManager,物流确认
NotiService,INFO,INBOX_CLEAR,收件箱清空，用户ID: 10156,InboxClearer,用户手动
UserService,WARN,PROFILE_PRIVATE,资料设为私密，用户ID: 10157,PrivacyToggler,对外隐藏
CartService,ERROR,CART_ITEM_DELETED,商品被删除，商品ID: 30035,ItemDeleter,下架
EmailService,INFO,TEMPLATE_SHARE,模板分享成功，ID: 60010,TemplateSharer,团队共享
GatewayService,WARN,CERT_RENEWAL_REMIND,证书续期提醒，剩余: 10天,RenewalRemindManager,自动
LogService,ERROR,LOG_EXPORT_FAIL,日志导出失败，原因: 磁盘满,ExportFailManager,清理后再试
SearchService,WARN,QUERY_BOOL_ERR,布尔查询错误，语法: AND OR NOT,BoolParser,顺序错误
AuthService,INFO,OAUTH_BIND,第三方绑定成功，平台: github，用户ID: 10158,OAuthBinder,关联账号
PayService,ERROR,PAY_SETTLE_TIMEOUT,结算超时，渠道: alipay,SettleTimeoutManager,对账文件未到
StockService,INFO,STOCK_BATCH_TRACE,批次追溯完成，批次号: B2025092201,TraceManager,来源清晰
OrderService,WARN,ORDER_WAREHOUSE_CHANGE,发货仓库变更，订单ID: 20050,WarehouseChanger,原仓缺货
NotiService,ERROR,PUSH_BADGE_CLEAR_FAIL,角标清除失败，用户ID: 10159,BadgeClearer,设备离线
UserService,INFO,LEVEL_EXPIRE_REMIND,会员等级即将过期，用户ID: 10160,LevelExpireRemindManager,剩余15天
CartService,WARN,CART_DISCOUNT_LIMIT,优惠达到上限，用户ID: 10161,DiscountLimitManager,不能再减
EmailService,ERROR,TEMPLATE_IMPORT_FAIL,模板导入失败，格式: 不支持的ZIP,ImportFailManager,请使用标准模板
GatewayService,INFO,BACKEND_LOAD_BALANCE,负载均衡切换，服务: SearchService,LoadBalancer,节点权重调整
LogService,WARN,LOG_PARSER_SLOW,日志解析慢，延迟: 5秒,ParserMonitor,正则复杂
SearchService,ERROR,INDEX_WRITER_FAIL,索引写入失败，磁盘只读,WriterManager,检查磁盘
AarService,WARN,LOGIN_LOCATION,登录地异常，用户ID: 10162,LocationChecker,跨国登录
AbaService,INFO,BALANCE_TRANSFER,余额转账成功，用户ID: 10163→10164,TransferManager,金额: ￥50
PayService,WARN,PAY_CHANNEL_SLOW,渠道响应慢，通道: wxpay，耗时: 3s,SlowChannelManager,考虑降级
StockService,ERROR,STOCK_COUNT_ERR,盘点数量错误，商品ID: 30036,CountErrorManager,系统与实物差5
OrderService,INFO,ORDER_TRACK_PUSH,物流推送更新，订单ID: 20051,TrackPushManager,用户已订阅
NotiService,WARN,NOTI_SILENCE_VACATION,假期静默开启，用户ID: 10165,VacationSilencer,7天
UserService,ERROR,PHONE_VERIFICATION_TIMEOUT,手机验证码超时，用户ID: 10166,PhoneVerTimeoutManager,超过5分钟
CartService,INFO,CART_WISH_CLEAR,心愿单清空，用户ID: 10167,WishClearer,活动结束
EmailService,WARN,SUBJECT_SPAM_WORD,主题含垃圾词，可能进垃圾箱,SpamWordChecker,提示修改
GatewayService,ERROR,BACKEND_READ_TIMEOUT,后端读取超时，服务: UserService,ReadTimeoutManager,超过6秒
LogService,INFO,LOG_CORRELATION_ID,关联ID注入，ID: abc-1234,CorrelationManager,追踪
SearchService,WARN,QUERY_FUZZY,模糊查询触发，编辑距离: 2,FuzzyManager,"匹配""iphnoe""→""iphone"""
AuthService,ERROR,PERMISSION_REVOKE_FAIL,权限收回失败，角色: ADMIN,RevokeFailManager,依赖存在
PayService,INFO,PAY_CHANNEL_DAILY_LIMIT,渠道日限额重置，通道: alipay,DailyLimitResetManager,恢复
StockService,WARN,STOCK_SOFT_RESERVE,软预留成功，商品ID: 30037,SoftReserveManager,15分钟内有效
OrderService,ERROR,ORDER_REFUND_AUDIT_REJECT,退款审核被拒，订单ID: 20052,RefundAuditRejectManager,不符合政策
NotiService,INFO,INBOX_CAPACITY_WARN,收件箱容量警告，用户ID: 10168,CapacityWarner,剩余10%
UserService,WARN,THIRD_PARTY_UNLINK,第三方解绑，平台: weibo，用户ID: 10169,UnlinkManager,用户主动
CartService,ERROR,CART_SYNC_CONFLICT,购物车同步冲突，用户ID: 10170,SyncConflictResolver,手动合并
EmailService,INFO,TEMPLATE rollback,模板回滚成功，ID: 60011,RollbackManager,版本: v1.2
GatewayService,WARN,DNS_FAILOVER,DNS故障转移，原DNS: 8.8.8.8→新: 1.1.1.1,DnsFailoverManager,解析失败
LogService,ERROR,LOG_ARCHIVE_FAIL,日志归档失败，原因: 网络中断,ArchiveFailManager,重试
SearchService,INFO,QUERY_CACHE_EXPIRE,"查询缓存过期，关键词: ""口罩""",CacheExpireManager,10分钟TTL
AarService,WARN,PASSWORD_REUSE,密码重复使用，用户ID: 10171,ReuseChecker,历史5次内
AbaService,ERROR,BALANCE_NEGATIVE_AFTER_REFUND,退款后余额为负，用户ID: 10172,NegativeBalanceManager,冻结使用
PayService,INFO,PAY_SCORE_DEDUCT,支付分抵扣，用户ID: 10173,ScoreDeductManager,抵扣: ￥3
StockService,ERROR,STOCK_MOVE_LOST,移库丢失，商品ID: 30038,MoveLostManager,数量: 2
OrderService,WARN,ORDER_INSURE_FAIL,投保失败，订单ID: 20053,InsureFailManager,商品不支持
Beta001,ERROR,TOKEN_REFRESH_FAIL,刷新令牌失败，用户:10036,TokenMgr,刷新令牌已失效
Beta002,WARN,CACHE_REHASH_SLOW,哈希重分布耗时 12s,CacheRehash,节点频繁上下线
Beta003,FATAL,MASTER_SLAVE_DESYNC,主从数据不一致，差异 5MB,SyncChecker,网络中断导致binlog丢失
Beta004,ERROR,UPLOAD_FILE_LOCK,文件上传被锁定，文件名:report.xlsx,FileLockMgr,并发上传冲突
Beta005,WARN,CERT_EXPIRE_30D,证书 30 天后过期,CertAlert,未设置自动续签
Beta006,ERROR,LOGIN_CAPTCHA_FAIL,验证码错误 5 次，IP:203.0.113.20,CaptchaMgr,触发IP封禁
Beta007,FATAL,KAFKA_PRODUCER_FAIL,生产者发送失败，topic:beta-events,ProducerHealth,磁盘写满，无法写入
Beta008,WARN,INDEX_SIZE_GROW,索引日增长 50GB,IndexSizeWatch,未开启压缩
Beta009,ERROR,CONFIG_JSON_INVALID,JSON配置解析失败,JsonCfgParser,缺少闭合括号
Beta010,FATAL,MEMORY_SWAP_OUT,交换分区使用 90%,SwapWatcher,物理内存耗尽
Beta011,WARN,METRIC_SAMPLE_DUP,指标采样重复 3%,SampleDedup,采集器时钟回拨
Beta012,ERROR,PAY_SIGN_FAIL,支付签名失败，订单:ORD22002,PaySigner,私钥与商户不匹配
Beta013,FATAL,CLUSTER_QUORUM_LOSS,集群失去仲裁，节点 3→1,QuorumHealth,网络分区严重
Beta014,WARN,CACHE_TTL_MISS,缓存TTL未设置，键:beta:config,TtlManager,永不过期风险
Beta015,ERROR,WEBHOOK_IP_BLOCKED,Webhook IP被黑名单拦截,IpBlocker,触发安全策略
Beta016,WARN,INODE_USAGE_95,inode使用95%,InodeWatcher,小文件爆炸
Beta017,ERROR,EMAIL_DOMAIN_MISS,邮箱域名MX记录缺失,DnsResolver,无法投递
Beta018,FATAL,JVM_PAUSE_10S,JVM停顿10秒,JvmPauseMonitor,Full GC耗时过长
Beta019,WARN,BANDWIDTH_OVER_COMMIT,带宽超分配20%,BandwidthMgr,资源超售
Beta020,ERROR,API_VERSION_UNSUPPORTED,API版本不支持，版本:v99,VersionGate,最高仅支持v3
Beta021,FATAL,RAID5_DISK_FAIL,RAID5双盘故障,RaidHealth,数据丢失风险
NotiService,ERROR,WEBHOOK_SSL_ERR,Webhook SSL证书错误，URL: https://notify.example.com,WebhookSslChecker,证书不受信
UserService,INFO,PROFILE completeness 100%,资料完整度100%，用户ID: 10174,CompletenessManager,奖励积分
CartService,WARN,CART_ITEM_SOLD_OUT,商品售罄，商品ID: 30039,SoldOutManager,自动移除
EmailService,WARN,LIST_SEGMENT_FAIL,分群失败，条件: 近30天购买,SegmentFailManager,数据不足
GatewayService,INFO,BACKEND_RETRY_SUCCESS,后端重试成功，服务: PayService,RetrySuccessManager,第3次成功
LogService,WARN,LOG_INDEX_REBUILD,日志索引重建中，耗时: 2分钟,IndexRebuilder,完成
SearchService,ERROR,QUERY_TOKENIZE_FAIL,分词失败，语言: ja,TokenizerManager,未支持日语
Beta022,WARN,SESSION_REUSE_DETECT,会话复用攻击，用户:10037,SessionAnomaly,IP突变
Beta023,ERROR,FILE_SIZE_ZERO,上传文件大小为0,FileValidator,空文件被拒绝
Beta024,FATAL,MESSAGE_BROKER_OOM,消息代理内存溢出,BrokerOOM,堆积消息过多
Beta025,WARN,INDEX_MERGE_TIMEOUT,索引合并超时1800s,MergeTimeout,磁盘IO瓶颈
Beta026,ERROR,PASSWORD_EXPIRED,密码已过期90天，用户:10038,PwdExpiry,强制修改
Beta027,FATAL,CONTAINER_CRASH_LOOP,容器循环崩溃，重启计数>20,K8sRuntime,liveness探针失败
Beta028,WARN,METRIC_LABEL_EMPTY,指标标签为空，label:env,LabelValidator,标签值缺失
Beta029,ERROR,CERT_PRIVATE_KEY_LOST,私钥文件丢失，证书:beta.com,KeyStore,文件被误删除
Beta030,FATAL,DATA_FILE_TRAILER_BAD,数据文件尾损坏,FileTrailer,校验和错误
Beta031,WARN,LATENCY_JITTER_200MS,抖动200ms,JitterMonitor,网络不稳定
Beta032,ERROR,DUPLICATE_DEVICE_ID,设备ID重复，ID:dev123,DeviceReg,MAC地址冲突
Beta033,FATAL,THREAD_DEADLOCK_DETECT,死锁检测，线程:t1&t2,DeadlockDetector,循环等待锁
Beta034,WARN,BANDWIDTH_PACKET_LOSS_3P,丢包率3%,PacketLossMon,链路质量差
Beta035,ERROR,JSON_PATH_SYNTAX_ERR,JSONPath语法错误,JsonPathEval,缺少括号
Beta036,FATAL,LICENSE_FILE_EXPIRE,许可证文件过期，文件:beta.lic,LicenseMgr,未按时续费
Beta037,WARN,DISK_SMART_PRED_FAIL,SMART预测失败，磁盘:sdc,SmartPredict,磁盘即将损坏
Beta038,ERROR,INVALID_GEO_HASH_LEN,GeoHash长度无效，len:13,GeoHashMgr,最大12
Beta039,FATAL,RAFT_LOG_INCONSISTENT,Raft日志不一致,RaftLogMgr,网络分区导致
Beta040,WARN,METRIC_VALUE_NEGATIVE,指标值为负，value:-5,MetricValidator,不应为负
Beta041,ERROR,WEBHOOK_RETURN_5XX,Webhook返回500,WebhookSrv,接收方异常
Beta042,FATAL,MEMORY_PAGE_FAULT_HIGH,缺页中断>10k/s,PageFaultMon,内存紧张
Beta043,WARN,CACHE_KEY_COLLISION,缓存键碰撞，key:beta:item:1,CollisionDetector,哈希冲突
Beta044,ERROR,PASSWORD_DICT_WORD,密码为字典单词,DictChecker,强度不足
Beta045,FATAL,ROUTING_TABLE_FULL,路由表满，条目:65536,RouteMgr,未清理旧路由
Beta046,WARN,BANDWIDTH_UTIL_97P,带宽利用率97%,UtilMonitor,峰值持续
AuthService,ERROR,SAML_RESP_INVALID,SAML响应无效，用户ID: 10175,SamlValidator,签名不符
PayService,WARN,PAY_CHANNEL_QPS,渠道QPS超限，通道: wxpay，当前: 1200,QpsLimiter,限制1000
StockService,INFO,STOCK_RETURN_RESERVE,退货预留，商品ID: 30040,ReturnReserveManager,数量: 5
OrderService,ERROR,ORDER_BATCH_CANCEL,批量取消失败，订单数: 50,BatchCancelManager,状态冲突
NotiService,WARN,SMS_LENGTH,短信长度过长，拆分: 3条,LengthCalculator,超70字
UserService,INFO,ADDRESS_DEFAULT,默认地址设置，用户ID: 10176,DefaultAddressManager,ID: 80004
CartService,ERROR,CART_DISCOUNT_CODE_USED,优惠码已使用，用户ID: 10177,CodeUsedChecker,不可重复
EmailService,ERROR,TEMPLATE_NOT_FOUND,模板不存在，ID: 60012,TemplateFinder,已删除
GatewayService,WARN,BACKEND_CERT_EXPIRE,后端证书即将过期，服务: StockService,BackendCertWatcher,剩余5天
LogService,INFO,LOG_SHIP,日志投递成功，Topic: order-log,LogShipper,Kafka
SearchService,ERROR,CLUSTER_NODE_LOST,集群节点丢失，节点: node7,NodeLostManager,网络中断
AarService,WARN,LOGIN_CAPTCHA_FAIL,验证码错误，用户ID: 10178,CaptchaValidator,第3次错误
AbaService,INFO,BALANCE_CASHBACK,返现到账，用户ID: 10179,CashbackManager,金额: ￥5
PayService,ERROR,PAY_ORDER_NOT_EXIST,订单不存在，渠道: alipay，订单号: 20054,OrderExistChecker,查无记录
StockService,WARN,STOCK_NEGATIVE_ALARM,负库存报警，商品ID: 30041,NegativeAlarmManager,当前: -3
OrderService,INFO,ORDER_WEIGHT_MANUAL,人工称重，订单ID: 20055,ManualWeighter,修正: 1.35kg
NotiService,ERROR,PUSH_TOPIC_FAIL,推送主题订阅失败，用户ID: 10180,TopicManager,主题不存在
UserService,WARN,NICKNAME_UPDATE_LIMIT,昵称修改达上限，用户ID: 10181,NicknameLimitManager,每月1次
CartService,INFO,CART_SHARE_CLICK,分享链接点击，分享码: ABCD1234,ShareClickTracker,IP: 192.168.1.110
EmailService,WARN,PREHEADER_EMPTY,邮件预头为空，可能降低打开率,PreheaderChecker,建议补充
GatewayService,ERROR,BODY_COMPRESS_FAIL,请求体压缩失败，算法: gzip,CompressFailManager,头不一致
LogService,WARN,LOG_DUPLICATE_KEY,日志主键重复，Key: abc-def,DuplicateKeyManager,丢弃重复
SearchService,INFO,QUERY_SYNONYM,"同义词扩展，""手机""→""智能手机""",SynonymManager,提升召回
AuthService,ERROR,OAUTH_TOKEN_EXPIRE,OAuth令牌过期，平台: facebook，用户ID: 10182,OAuthTokenManager,需刷新
PayService,INFO,PAY_CHANNEL_FEES,渠道费率更新，wxpay: 0.6%→0.55%,FeeUpdateManager,已生效
StockService,ERROR,STOCK_BATCH_DATE_ERR,批次日期逻辑错误，商品ID: 30042,BatchDateLogicManager,生产日期>当前
OrderService,WARN,ORDER_DELIVER_NOTE,配送备注超长，订单ID: 20056,NoteLengthManager,限制200字
NotiService,INFO,SMS_BLACKLIST_REMOVE,黑名单移除，手机号: 138****0000,BlacklistRemover,申诉成功
UserService,ERROR,BIND_EMAIL_FAIL,邮箱绑定失败，用户ID: 10183,EmailBinder,邮箱已注册
CartService,WARN,CART_ITEM_PRICE_CHANGE,商品价格变动，原: ￥99→新: ￥109,PriceChangeManager,用户须知
EmailService,ERROR,DKIM_KEY_MISS,DKIM私钥缺失，域名: example.com,DkimKeyManager,签名失败
GatewayService,INFO,CACHE_PURGE,缓存清理完成，Pattern: /api/product/*,PurgeManager,手动
SearchService,ERROR,INDEX_LOCK_TIMEOUT,索引锁超时，操作: merge,LockTimeoutManager,重试
AarService,INFO,BIOMETRIC_UPDATE,生物特征更新，用户ID: 10184,BiometricUpdater,重新录入
